,C_RPI Players,C_Design for America,C_Women's Mentor Program,C_Fishing Club,C_Symphonic Band,C_Science Ambassadors,C_RPI Sec,C_Outing Club,C_Alianza Latina,C_SHPE,C_RMA,C_Rensselaer Astrophysical Society,C_RPI Ambulance,C_NSBE,C_RPI LEAP,C_Climbing Team,C_Sole Survivors,C_Student Government,C_AIAS,C_FSC,C_Bwenzi,C_UPAC Concerts,C_Kite Club,C_Roundnet Club,C_coding&&community,S_Dance,S_Cheerleading,S_Crew,S_Swim,S_Varisty Women's Soccer,S_Wrestling,S_Club Women's Soccer,S_Women's Lacrosse,S_Club Hockey,S_Rugby,S_Track & Field,S_Club Volleyball,S_Equestrian,S_Women's Basketball,S_Men's Basketball,S_Club Baseball,S_Ultimate Frisbee,S_Field Hockey,S_Softball,S_Ski Team,S_Football,S_Golf,TOTAL,LOGO
Alpha Gamma Delta,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,66,AΓΔ
Alpha Omega Epsilon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,AΩE
Alpha Phi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,78,AΦ
Omega Phi Beta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,ΩΦB
Pi Beta Phi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,3,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,74,ΠBΦ
Sigma Delta,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,ΣΔ
